10,7,1,8,80
20,80,8,9,81
30,81,9,10,82
40,82,10,11,83
50,83,11,12,84
60,84,12,13,85
70,85,13,14,86
80,86,14,15,87
90,87,15,16,88
100,88,16,17,89
110,89,17,18,90
120,90,18,2,19
130,20,3,21,91
140,91,21,22,92
150,92,22,23,93
160,93,23,24,94
170,94,24,25,95
180,95,25,26,96
190,96,26,27,97
200,97,27,28,98
210,98,28,29,99
220,99,29,30,100
230,100,30,31,101
240,101,31,1,7
241,4,32,102,44
251,44,102,103,43
261,43,103,104,42
271,42,104,105,41
281,41,105,106,40
291,40,106,107,39
301,39,107,108,38
311,38,108,109,37
321,37,109,110,36
331,36,110,111,35
341,35,111,112,34
351,34,112,33,5
370,45,6,46,113
380,113,46,47,114
390,114,47,48,115
400,115,48,49,116
410,116,49,50,117
420,117,50,51,118
430,118,51,52,119
440,119,52,53,120
450,120,53,54,121
460,121,54,55,122
470,122,55,56,123
480,123,56,57,124
490,124,57,58,125
500,125,58,59,126
510,126,59,60,127
520,127,60,61,128
530,128,61,62,129
540,129,62,63,130
550,130,63,64,131
560,131,64,65,132
570,132,65,66,133
580,133,66,67,134
590,134,67,68,135
600,135,68,3,20
601,6,45,136,79
611,79,136,137,78
621,78,137,138,77
631,77,138,139,76
641,76,139,140,75
651,75,140,141,74
661,74,141,142,73
671,73,142,143,72
681,72,143,144,71
691,71,144,145,70
701,70,145,146,69
711,69,146,32,4
