1,0,45
4,0,70
5,0,0
8,90,45
9,90,70
11,90,0
13,2,45
14,4,45
15,6,45
16,8,45
17,10,45
18,12,45
19,14,45
20,16,45
21,18,45
33,18,70
34,16,70
35,14,70
36,12,70
37,10,70
38,8,70
39,6,70
40,4,70
41,2,70
42,0,67.9166641
43,0,65.8333359
44,0,63.75
45,0,61.6666679
46,0,59.5833321
47,0,57.5
48,0,55.4166679
49,0,53.3333321
50,0,51.25
51,0,49.1666679
52,0,47.0833321
53,2,2
54,4,4
55,6,6
56,8,8
57,10,10
58,12,12
59,14,14
60,16,16
61,18,18
73,0,41.25
74,0,37.5
75,0,33.75
76,0,30
77,0,26.25
78,0,22.5
79,0,18.75
80,0,15
81,0,11.25
82,0,7.5
83,0,3.75
84,72,45
85,74,45
86,76,45
87,78,45
88,80,45
89,82,45
90,84,45
91,86,45
92,88,45
93,90,47.0833321
94,90,49.1666679
95,90,51.25
96,90,53.3333321
97,90,55.4166679
98,90,57.5
99,90,59.5833321
100,90,61.6666679
101,90,63.75
102,90,65.8333359
103,90,67.9166641
104,88,70
105,86,70
106,84,70
107,82,70
108,80,70
109,78,70
110,76,70
111,74,70
112,72,70
124,88,2
125,86,4
126,84,6
127,82,8
128,80,10
129,78,12
130,76,14
131,74,16
132,72,18
156,3.75,0
157,7.5,0
158,11.25,0
159,15,0
160,18.75,0
161,22.5,0
162,26.25,0
163,30,0
164,33.75,0
165,37.5,0
166,41.25,0
167,45,0
168,48.75,0
169,52.5,0
170,56.25,0
171,60,0
172,63.75,0
173,67.5,0
174,71.25,0
175,75,0
176,78.75,0
177,82.5,0
178,86.25,0
179,90,3.75
180,90,7.5
181,90,11.25
182,90,15
183,90,18.75
184,90,22.5
185,90,26.25
186,90,30
187,90,33.75
188,90,37.5
189,90,41.25
201,2,47.0833321
202,4,47.0833321
203,6,47.0833321
204,8,47.0833321
205,10,47.0833321
206,12,47.0833321
207,14,47.0833321
208,16,47.0833321
209,18,47.0833321
210,2,49.1666679
211,4,49.1666679
212,6,49.1666679
213,8,49.1666679
214,10,49.1666679
215,12,49.1666679
216,14,49.1666679
217,16,49.1666679
218,18,49.1666679
219,2,51.25
220,4,51.25
221,6,51.25
222,8,51.25
223,10,51.25
224,12,51.25
225,14,51.25
226,16,51.25
227,18,51.25
228,2,53.3333321
229,4,53.3333321
230,6,53.3333321
231,8,53.3333321
232,10,53.3333321
233,12,53.3333321
234,14,53.3333321
235,16,53.3333321
236,18,53.3333321
237,2,55.4166679
238,4,55.4166679
239,6,55.4166679
240,8,55.4166679
241,10,55.4166679
242,12,55.4166679
