10,21,2,22,209
20,209,22,23,218
30,218,23,24,227
40,227,24,25,236
50,236,25,26,245
60,245,26,27,254
70,254,27,28,263
80,263,28,29,272
90,272,29,30,281
100,281,30,31,290
110,290,31,32,299
120,299,32,3,33
130,61,6,62,308
140,308,62,63,317
150,317,63,64,326
160,326,64,65,335
170,335,65,66,344
180,344,66,67,353
190,353,67,68,362
200,362,68,69,371
210,371,69,70,380
220,380,70,71,389
230,389,71,72,398
240,398,72,2,21
241,7,84,399,123
251,123,399,408,122
261,122,408,417,121
271,121,417,426,120
281,120,426,435,119
291,119,435,444,118
301,118,444,453,117
311,117,453,462,116
321,116,462,471,115
331,115,471,480,114
341,114,480,489,113
351,113,489,112,10
370,132,12,133,506
380,506,133,134,515
390,515,134,135,524
400,524,135,136,533
410,533,136,137,542
420,542,137,138,551
430,551,138,139,560
440,560,139,140,569
450,569,140,141,578
460,578,141,142,587
470,587,142,143,596
480,596,143,144,605
490,605,144,145,614
500,614,145,146,623
510,623,146,147,632
520,632,147,148,641
530,641,148,149,650
540,650,149,150,659
550,659,150,151,668
560,668,151,152,677
570,677,152,153,686
580,686,153,154,695
590,695,154,155,704
600,704,155,6,61
601,12,132,705,200
611,200,705,714,199
621,199,714,723,198
631,198,723,732,197
641,197,732,741,196
651,196,741,750,195
661,195,750,759,194
671,194,759,768,193
681,193,768,777,192
691,192,777,786,191
701,191,786,795,190
711,190,795,84,7
